ans1,ans2,ans3
Poster_Link,7.949299999999999,202
Series_Title,7.949299999999999,202
Released_Year,7.949299999999999,202
Certificate,7.949299999999999,202
Runtime,7.949299999999999,202
Genre,7.949299999999999,202
IMDB_Rating,7.949299999999999,202
Overview,7.949299999999999,202
Meta_score,7.949299999999999,202
Director,7.949299999999999,202
Star1,7.949299999999999,202
Star2,7.949299999999999,202
Star3,7.949299999999999,202
Star4,7.949299999999999,202
No_of_Votes,7.949299999999999,202
Gross,7.949299999999999,202
